id,contract_type,clause_category,clause_text,risk_level,risk_reason,saudi_legal_note,recommended_revision,related_regulation,requires_escalation,language,industry,source_type,reviewed_by_lawyer,notes,verification_status
11,Lease Agreement,Liability,يلتزم المستأجر بدفع مبلغ تأمين مبدئي مساوٍ لإيجار ستة أشهر كاملة كضمان لحسن تنفيذ الالتزامات التعاقدية يُردّ عند انتهاء العقد بعد خصم أي تلفيات.,medium,التأمين المطلوب يعادل ستة أشهر إيجار وهو مبلغ مرتفع قد يُعدّ شرطًا تعسفيًا. في حال النزاع تميل المحاكم إلى التدخل في الشروط غير المتوازنة المُثقلة للمستأجر.,نظام المعاملات المدنية م/191 لعام 1443هـ وأحكام العقود المقننة تُجيز اشتراط تأمين معقول غير أن الشروط المجحفة قابلة للطعن أمام المحاكم التجارية. المبالغ الشائعة في السوق لا تتجاوز شهرين إلى ثلاثة أشهر إيجار.,تحديد مبلغ التأمين بما لا يتجاوز إيجار شهرين أو ثلاثة أشهر كحد أقصى مع تفصيل إجراءات الخصم والمدة الزمنية لرد المبلغ بعد انتهاء العقد على ألا تتجاوز ثلاثين يومًا.,نظام المعاملات المدنية م/191 لعام 1443هـ,no,ar,Real Estate,hypothetical,no,,draft
12,Lease Agreement,Warranties,The tenant shall be responsible for all maintenance and repairs required during the lease term to maintain the property in good and tenantable condition.,low,Placing all maintenance responsibilities on the tenant without distinguishing structural from minor repairs is ambiguous and potentially conflicts with the landlord's fundamental obligations under Saudi tenancy principles.,وفق أحكام الإجارة في نظام المعاملات المدنية م/191 لعام 1443هـ يتحمل المؤجر الصيانة الهيكلية وما يُخل بالانتفاع فيما يتحمل المستأجر الصيانة التشغيلية البسيطة. الإسناد الكلي للمستأجر مخالف لهذا التوزيع.,Specify that the landlord is responsible for structural repairs and major systems including electrical plumbing and HVAC and any defects that affect habitability. The tenant is responsible only for minor day-to-day maintenance and damage caused by misuse. Define a monetary threshold to distinguish minor from major repairs.,نظام المعاملات المدنية م/191 لعام 1443هـ — أحكام عقد الإجارة,no,en,Real Estate,hypothetical,no,,draft
13,Construction Contract,Indemnification,The Contractor shall execute the works in accordance with the project specifications and deliver the completed works by the agreed completion date. The Contractor warrants the works against defects for one year from the date of practical completion.,critical,The absence of a performance bond requirement exposes the project owner to significant financial risk if the contractor defaults or abandons the project. Saudi government and major private projects universally require performance bonds as a condition of contract award.,نظام المنافسات والمشتريات الحكومية م/م/128 لعام 1440هـ يُلزم بتقديم ضمان حسن تنفيذ لا يقل عن 5% إلى 10% من قيمة العقد. غياب هذا الضمان يُعرّض المالك لخسائر جسيمة في حال إخلال المقاول أو تركه للمشروع.,Add a clause requiring the Contractor to provide a performance bond from a Saudi-licensed bank or insurance company equal to 10% of the contract value valid until the end of the defects liability period. The bond must be unconditional and payable on demand within five business days of written notice.,نظام المنافسات والمشتريات الحكومية م/م/128 لعام 1440هـ — اللوائح التنفيذية المادة 77,yes,en,Construction,hypothetical,no,,draft
14,Construction Contract,Liability,في حال تأخر المقاول عن إنجاز الأعمال في الموعد المحدد يلتزم بدفع غرامة تأخير يومية بنسبة عشرة بالمئة من إجمالي قيمة العقد لكل يوم تأخير دون سقف أعلى.,high,غرامة التأخير المحددة بنسبة 10% يوميًا من إجمالي العقد غرامة تعسفية فاحشة قد تتجاوز قيمة العقد في أيام معدودة. المحاكم السعودية تملك صلاحية تخفيض الشرط الجزائي المفرط.,المادة 176 من نظام المعاملات المدنية م/191 لعام 1443هـ تُجيز للقضاء تخفيض الشرط الجزائي إذا كان مبالغًا فيه أو إذا نُفِّذ جزء من الالتزام. الغرامة المعقولة في السوق السعودية تتراوح بين 0.1% و0.5% يوميًا بسقف إجمالي.,تعديل غرامة التأخير إلى نسبة يومية بين 0.1% و0.2% من قيمة العقد مع تحديد سقف إجمالي لا يتجاوز 10% من قيمة العقد مع استثناء حالات القوة القاهرة والتأخير الناجم عن المالك أو جهات خارجية.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 176,yes,ar,Construction,hypothetical,no,,draft
15,Construction Contract,Corporate Governance,The Contractor may subcontract any portion of the works to qualified subcontractors at its sole discretion. يحق للمقاول من الباطن إبرام عقود من المستوى الثاني دون إشعار المالك.,high,Unrestricted subcontracting without owner consent removes the owner's ability to vet the qualifications of parties performing critical work. Cascading subcontracting dilutes accountability and can void insurance and warranty obligations on the project.,المادة 682 من نظام المعاملات المدنية م/191 لعام 1443هـ تُجيز المقاولة من الباطن ما لم يُحظر تعاقديًا. يُنصح بالحصول على موافقة كتابية مسبقة للمحافظة على الرقابة على الجودة والتزامات الضمان.,Require prior written consent from the owner before subcontracting any portion exceeding 20% of the contract value. Prohibit further sub-subcontracting without separate written consent. Require the contractor to remain fully liable for all subcontractor work and ensure subcontractors are licensed by the Saudi Contractors Authority.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 682 | هيئة المقاولين السعوديين,yes,bilingual,Construction,hypothetical,no,,draft
16,NDA,Confidentiality,The Receiving Party agrees to keep strictly confidential all information of any nature whatsoever disclosed by the Disclosing Party including information that is publicly available or independently developed by the Receiving Party.,medium,Including publicly available information and independently developed information within the confidentiality obligation creates an unenforceable and unreasonable scope. Saudi courts applying civil law principles may void overbroad confidentiality clauses in their entirety.,وفق مبادئ نظام المعاملات المدنية م/191 لعام 1443هـ يجب أن يكون موضوع الالتزام التعاقدي محددًا وممكنًا. إلزام الطرف بحفظ سرية معلومات متاحة للعموم أو طوّرها باستقلالية يفتقر إلى المشروعية ويُضعف صحة الاتفاقية.,Narrow confidential information to exclude: (1) information already in the public domain through no breach of this agreement (2) information independently developed without use of disclosed information (3) information received from a third party without restriction and (4) information required to be disclosed by law or court order.,نظام المعاملات المدنية م/191 لعام 1443هـ | نظام حماية البيانات الشخصية م/19 لعام 1443هـ,no,en,Technology,hypothetical,no,,draft
17,NDA,Confidentiality,يلتزم الطرف المُستلم بالمحافظة على سرية جميع المعلومات المُفصح عنها التزامًا مؤبدًا لا ينتهي بانتهاء الاتفاقية أو العلاقة التجارية بين الطرفين.,medium,الالتزام المؤبد بالسرية قد يُعدّ مقيدًا بشكل غير معقول لحرية الطرف المُستلم في ممارسة نشاطه المستقبلي خاصةً بعد انتهاء الغرض التجاري وقد تُخفف منه المحاكم السعودية تطبيقًا لمبدأ التوازن العقدي.,نظام المعاملات المدنية م/191 لعام 1443هـ يُرسّخ مبدأ التوازن بين الحقوق والالتزامات. الالتزام الدائم الذي لا ينتهي يفتقر إلى العنصر الزمني الذي يُعدّ ركيزة أساسية لكثير من الالتزامات التعاقدية.,تحديد مدة التزام السرية بخمس سنوات من تاريخ الإفصاح أو ثلاث سنوات من انتهاء الاتفاقية أيهما أطول. استثناء الأسرار التجارية الجوهرية التي يمكن تمديد حمايتها ببنود مستقلة ومحددة النطاق.,نظام المعاملات المدنية م/191 لعام 1443هـ,no,ar,Finance,hypothetical,no,,draft
18,NDA,Intellectual Property,The Receiving Party shall not use any Confidential Information to develop competing products or services for a period of three years. The Receiving Party shall not reverse engineer any products disclosed under this Agreement.,high,Without a clear definition of what constitutes a trade secret the non-use obligation lacks sufficient certainty. Under Saudi law undefined obligations may be challenged as void for uncertainty and the reverse engineering prohibition may be unenforceable without specifying what information is proprietary.,نظام حماية الأسرار التجارية ضمن منظومة الملكية الفكرية تُشترط فيه عناصر محددة: أن تكون المعلومات غير معلومة عمومًا وأن تكون لها قيمة تجارية وأن يتخذ صاحبها تدابير معقولة لحمايتها. غياب التعريف يُضعف قابلية الإنفاذ.,Add a specific definition of Trade Secrets identifying categories of protected information such as algorithms client lists pricing models and technical specifications. Tie the non-use obligation to specifically identified categories of information. Reference Saudi IP law protections administered by the Saudi Authority for Intellectual Property.,نظام المعاملات المدنية م/191 لعام 1443هـ | أنظمة الهيئة السعودية للملكية الفكرية,yes,en,Technology,hypothetical,no,,draft
19,Commercial Agency Agreement,Termination,يحق لأي من الطرفين إنهاء هذه الاتفاقية بإخطار كتابي مدته ثلاثين يومًا دون أي التزام بالتعويض أو دفع أي مبالغ إضافية للطرف الآخر عند الإنهاء.,critical,نظام الوكالة التجارية السعودي يُلزم الموكّل الأجنبي بتعويض الوكيل المحلي عند إنهاء الوكالة دون مبرر مشروع. استثناء التعويض في العقد لا ينفي هذا الالتزام القانوني ويُعرّض الموكّل لدعاوى قضائية.,نظام الوكالة التجارية م/11 لعام 1382هـ وتعديلاته يُلزم بتسجيل الوكالة ويُحدد مستحقات الوكيل عند الإنهاء بما فيها التعويض عن الاستثمارات المُنجزة والسمعة التجارية المكتسبة. لا يُحتج بالنص العقدي المخالف على الوكيل.,إضافة بند تعويض واضح يُحدد معايير احتساب التعويض عند الإنهاء بما يشمل: العمولات المستحقة خلال فترة الإشعار والتعويض عن الاستثمارات التسويقية المُنجزة للعلامة التجارية والأرباح المتوقعة عن الفترة المتبقية من العقد.,نظام الوكالة التجارية م/11 لعام 1382هـ وتعديلاته,yes,ar,General,hypothetical,no,,draft
20,Commercial Agency Agreement,Governing Law,يتولى الوكيل تسويق منتجات الموكّل وتقديم الخدمات في المملكة العربية السعودية دون الحاجة إلى تسجيل هذه الوكالة لدى أي جهة حكومية.,high,الوكالة التجارية غير المُسجلة في سجل الوكالات التجارية بوزارة التجارة لا تتمتع بالحماية النظامية الكاملة. ممارسة نشاط الوكالة التجارية دون تسجيل يُعرّض الطرفين لعقوبات إدارية وتبعات قانونية.,المادة 3 من نظام الوكالة التجارية م/11 لعام 1382هـ وتعديلاته تُلزم بتسجيل عقود الوكالة التجارية لدى وزارة التجارة قبل ممارسة النشاط. الوكالة غير المُسجلة لا تُعترف بها في النزاعات أمام الجهات الرسمية.,إضافة بند صريح يُلزم الطرفين بتسجيل الوكالة في وزارة التجارة قبل بدء أي نشاط تجاري مع تحديد الجهة المسؤولة عن إجراءات التسجيل والتكاليف المترتبة وإيقاف أي التزامات مالية حتى اكتمال التسجيل.,نظام الوكالة التجارية م/11 لعام 1382هـ، المادة 3,yes,ar,General,hypothetical,no,,draft
21,SaaS Agreement,Termination,This Agreement shall automatically renew for successive one-year terms unless either party provides written notice of non-renewal at least ninety days prior to the end of the then-current term. Renewal shall be at the then-current list price.,medium,Automatic renewal with a 90-day notice window and uncapped price escalation creates vendor lock-in risk. Clients may miss the notice window resulting in unintended renewal at significantly higher prices with no contractual ceiling on the increase.,نظام المعاملات المدنية م/191 لعام 1443هـ يُجيز التجديد التلقائي للعقود إذا كان منصوصًا عليه. غير أن التجديد المقرون برفع الأسعار الأحادي الجانب دون موافقة مسبقة على النسبة قد يُعدّ إخلالاً بمبدأ التوازن العقدي.,Reduce the auto-renewal notice period to 30 days. Cap any price increase at renewal to a maximum of 5% above the prior year's rate or tie it to the official Saudi CPI. Require the vendor to send an explicit renewal reminder no less than 60 days before the notice deadline.,نظام المعاملات المدنية م/191 لعام 1443هـ,no,en,Technology,hypothetical,no,,draft
22,SaaS Agreement,Data Protection & Privacy,يوافق العميل بموجب هذا العقد على معالجة بياناته الشخصية وبيانات مستخدميه النهائيين من قِبل مزوّد الخدمة لأغراض تحليل الاستخدام وتحسين المنتج وإنشاء نماذج تدريب الذكاء الاصطناعي.,critical,الموافقة المضمّنة في العقد التجاري لا تُعدّ موافقة مستقلة وصريحة على المعالجة وفق متطلبات نظام حماية البيانات الشخصية. استخدام البيانات لتدريب نماذج الذكاء الاصطناعي يستلزم أساسًا قانونيًا مستقلاً. العقوبات قد تبلغ خمسة ملايين ريال.,المادة 5 من نظام حماية البيانات الشخصية م/19 لعام 1443هـ تشترط أن تكون الموافقة على المعالجة صريحة ومستقلة ومحددة الغرض. دمج الموافقة ضمن بنود عقد تجاري لا يستوفي هذا الشرط. المادة 29 تُقيّد الاستخدام بالأغراض المُصرّح بها فقط.,إفراد سياسة معالجة بيانات مستقلة تُحدد أغراض المعالجة بدقة والأساس القانوني لكل غرض وآلية الحصول على الموافقة الصريحة وحقوق صاحب البيانات في السحب والتصحيح. تسجيل أنشطة المعالجة لدى الهيئة السعودية للبيانات والذكاء الاصطناعي (سدايا).,نظام حماية البيانات الشخصية م/19 لعام 1443هـ، المواد 5 و29 | لوائح سدايا التنفيذية,yes,ar,Technology,hypothetical,no,,draft
23,Supply Agreement,Indemnification,The Supplier shall indemnify defend and hold harmless the Buyer from and against any and all losses damages costs and expenses of any nature arising from or related to any delay in delivery without limitation.,high,Unlimited indemnification for delivery delays creates disproportionate financial exposure for the supplier. Under Saudi law courts may reduce or invalidate indemnification clauses that are excessively punitive and such clauses may create uninsurable risk for the supplier.,المادة 176 من نظام المعاملات المدنية م/191 لعام 1443هـ تُخوّل المحكمة تخفيض الشرط الجزائي المبالغ فيه إلى ما يساوي الضرر الفعلي. التعويض غير المحدود يفتقر إلى التناسب ويُثقل الطرف بالتزامات تفوق حجم الصفقة.,Cap indemnification for delivery delays at a fixed multiple of the contract value for the delayed order such as 110% of the relevant purchase order value. Exclude consequential damages and lost profits. Include a force majeure carve-out. Require the supplier to carry logistics liability insurance from a Saudi-licensed insurer.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادة 176,yes,en,Logistics,hypothetical,no,,draft
24,Supply Agreement,Payment Terms,يلتزم المشتري بسداد ثمن البضائع خلال مئة وثمانين يومًا من تاريخ استلامها وتوقيع محضر الاستلام دون فائدة على التأخر في السداد خلال هذه المدة.,low,مدة السداد البالغة مئة وثمانين يومًا تُشكّل ضغطًا تمويليًا على المورّد وإن كانت مشروعة في ذاتها. غياب أي آلية للتعامل مع تأخر المشتري بعد انتهاء المدة المتفق عليها يترك المورّد دون حماية فعلية.,نظام المعاملات المدنية م/191 لعام 1443هـ يُجيز الاتفاق على آجال السداد غير أن المادة 178 تنظم التعويض عن الضرر عند الإخلال. يُنصح بإضافة آلية للتعامل مع التأخر عن المدة المتفق عليها لضمان حق المورّد.,إضافة بند يُحدد الإجراءات عند تأخر المشتري عن السداد بعد انتهاء المدة بما يشمل إشعارًا كتابيًا بسبعة أيام وغرامة تأخير لا تتجاوز نسبة الرسوم البنكية الرسمية السائدة وحق إيقاف الإمدادات المستقبلية حتى تسوية المتأخرات.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادتان 178 و179,no,ar,Logistics,hypothetical,no,,draft
25,Professional Services Agreement,Intellectual Property,All intellectual property inventions software methodologies and work product developed by the Service Provider in connection with this engagement shall remain the sole and exclusive property of the Service Provider.,high,Retaining IP ownership with the service provider means the client pays for development but cannot own modify or build upon the deliverables. This creates strategic lock-in and may conflict with the client's reasonable expectations about ownership of bespoke deliverables.,نظام حق المؤلف م/م/41 لعام 1424هـ يُقر بأن الملكية الفكرية تعود بالأصل للمنشئ ما لم يُنص على خلاف ذلك عقديًا. في حال كانت الأعمال منجزة لحساب جهة أخرى يجب النص الصريح على نقل الملكية أو منح ترخيص كافٍ في العقد.,Assign all custom deliverables source code documentation and work product specifically created for this engagement to the client upon full payment. The service provider retains ownership of pre-existing tools and frameworks but must grant the client a perpetual royalty-free license to use them as incorporated in the deliverables.,نظام حق المؤلف م/م/41 لعام 1424هـ | الهيئة السعودية للملكية الفكرية,yes,en,Technology,hypothetical,no,,draft
26,Professional Services Agreement,Force Majeure,يلتزم مزوّد الخدمة بأداء جميع الخدمات المتفق عليها في المواعيد المحددة تحت طائلة المسؤولية الكاملة عن أي تأخير مهما كان سببه.,medium,الإلزام المطلق بالأداء في المواعيد بصرف النظر عن السبب يحمّل مزوّد الخدمة مسؤولية ناشئة عن أحداث خارج عن إرادته كالكوارث الطبيعية والقرارات الحكومية مما يُنشئ التزامات غير معقولة تتعارض مع مبادئ القوة القاهرة.,المادتان 173 و174 من نظام المعاملات المدنية م/191 لعام 1443هـ تُقرّان انقضاء الالتزام إذا استحال تنفيذه لسبب أجنبي لا يد للمدين فيه. الإطلاق في المسؤولية يتعارض مع هذه الأحكام ويستلزم التصحيح العقدي.,إضافة بند صريح للقوة القاهرة يُحدد الأحداث المشمولة كالكوارث الطبيعية والقرارات الحكومية والأوبئة المُعلنة وإجراء الإشعار خلال 48 ساعة وأثر القوة القاهرة وهو تعليق الالتزامات وليس إسقاطها وآلية إعادة التفاوض في حال استمرارها.,نظام المعاملات المدنية م/191 لعام 1443هـ، المادتان 173 و174,no,ar,Professional Services,hypothetical,no,,draft
27,Shareholder Agreement,Corporate Governance,Resolutions of the board of directors shall be passed by a simple majority of directors present at any meeting provided that a quorum of two directors is present. قرارات مجلس الإدارة تصدر بأغلبية من حضر شريطة حضور مديرَين اثنين.,critical,A two-person quorum for board resolutions may be insufficient under the Saudi Companies Law for major corporate decisions. Resolutions passed without proper quorum are void and may expose shareholders and officers to personal liability for unauthorized decisions.,المادة 74 من نظام الشركات م/132 لعام 1443هـ تحدد نصاب انعقاد مجلس الإدارة في الشركات بحضور أغلبية أعضائه. اشتراط نصاب من مديرَين فقط قد لا يستوفي المتطلب القانوني ويُعرّض قرارات الشركة للطعن والإبطال.,Set the quorum at the majority of board members as required by the Saudi Companies Law. For major decisions such as asset disposals exceeding 25% of company value or related-party transactions require a supermajority of two-thirds. Align quorum requirements with the specific company type registered under the 2022 Companies Law.,نظام الشركات م/132 لعام 1443هـ، المادة 74,yes,bilingual,Finance,hypothetical,no,,draft
